County Code,County Name,District Name,District Code,School Code,School Name,City,School Level,Student Fall Enrollment,Total Days Possible,Total Days Attended,Total Student Days Excused Absence,Total Student Days Unexcused Absent,Attendance Rate,Truancy Rate
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,9444,WESTLAKE MIDDLE SCHOOL,BROOMFIELD,Middle/Jr. High,948,162493,153008.00,7886.90,1598.00,0.94,0.01
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,9494,WESTVIEW ELEMENTARY SCHOOL,NORTHGLENN,Elementary,504,92021,88052.00,2287.10,1681.90,0.96,0.02
1,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20,9682,WOODGLEN ELEMENTARY SCHOOL,THORNTON,Elementary,390,61555,57878.00,3144.90,532.10,0.94,0.01
1,ADAMS,ADAMS COUNTY 14,30,20,ADAMS CITY MIDDLE SCHOOL,COMMERCE CITY,Middle/Jr. High,717,126564,116593.50,6013.00,3957.50,0.92,0.03
1,ADAMS,ADAMS COUNTY 14,30,22,LESTER R ARNOLD HIGH SCHOOL,COMMERCE CITY,Senior,160,27165,19982.50,1479.00,5703.50,0.74,0.21
1,ADAMS,ADAMS COUNTY 14,30,24,ADAMS CITY HIGH SCHOOL,COMMERCE CITY,Senior,1695,294808,254816.50,14976.00,25015.50,0.86,0.08
1,ADAMS,ADAMS COUNTY 14,30,124,STARS EARLY LEARNING CENTER,COMMERCE CITY,Elementary,78,13107,12068.50,225.50,813.00,0.92,0.06
1,ADAMS,ADAMS COUNTY 14,30,186,ALSUP ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,640,110887,103415.50,5535.50,1936.00,0.93,0.02
1,ADAMS,ADAMS COUNTY 14,30,1426,CENTRAL ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,634,106983,99356.00,4593.00,3034.00,0.93,0.03
1,ADAMS,ADAMS COUNTY 14,30,1882,COMMUNITY LEADERSHIP ACADEMY,COMMERCE CITY,Elementary,501,85910,82390.50,2239.50,1280.00,0.96,0.01
1,ADAMS,ADAMS COUNTY 14,30,2308,DUPONT ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,586,103195,97716.50,2970.00,2508.50,0.95,0.02
1,ADAMS,ADAMS COUNTY 14,30,4516,KEARNEY MIDDLE SCHOOL,COMMERCE CITY,Middle/Jr. High,538,95572,88862.50,4862.00,1847.50,0.93,0.02
1,ADAMS,ADAMS COUNTY 14,30,4536,KEMP ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,483,83713,78947.50,2716.00,2049.50,0.94,0.02
1,ADAMS,ADAMS COUNTY 14,30,5880,MILDRED L SANVILLE PRESCHOOL,COMMERCE CITY,Elementary,83,11379,10669.50,179.00,530.50,0.94,0.05
1,ADAMS,ADAMS COUNTY 14,30,5982,MONACO ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,480,85950,82086.50,1864.50,1999.00,0.96,0.02
1,ADAMS,ADAMS COUNTY 14,30,6534,HANSON ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,501,86562,81985.00,3202.50,1374.50,0.95,0.02
1,ADAMS,ADAMS COUNTY 14,30,7500,ROSE HILL ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,453,78653,73573.00,3493.50,1586.50,0.94,0.02
1,ADAMS,BRIGHTON 27J,40,700,BELLE CREEK CHARTER SCHOOL,HENDERSON,Elementary,668,117062,111215.30,5027.70,819.00,0.95,0.01
1,ADAMS,BRIGHTON 27J,40,1021,BRIGHTON HERITAGE ACADEMY,BRIGHTON,Senior,120,32730,27383.10,1571.20,3775.70,0.84,0.12
1,ADAMS,BRIGHTON 27J,40,1022,BRIGHTON HIGH SCHOOL,BRIGHTON,Senior,1647,304009,281670.90,9382.90,12955.20,0.93,0.04
1,ADAMS,BRIGHTON 27J,40,1052,BROMLEY EAST CHARTER SCHOOL,BRIGHTON,Elementary,865,151536,145630.40,4801.10,1104.50,0.96,0.01
1,ADAMS,BRIGHTON 27J,40,2399,EAGLE RIDGE ACADEMY,BRIGHTON,Senior,225,37059,33963.00,2049.70,1046.30,0.92,0.03
1,ADAMS,BRIGHTON 27J,40,2945,FOUNDATIONS ACADEMY,BRIGHTON,Elementary,430,74778,71571.00,2612.20,594.80,0.96,0.01
1,ADAMS,BRIGHTON 27J,40,3900,HENDERSON ELEMENTARY SCHOOL,HENDERSON,Elementary,570,66711,63001.50,2949.50,760.00,0.94,0.01
1,ADAMS,BRIGHTON 27J,40,4950,LANDMARK ACADEMY AT REUNION,COMMERCE CITY,Elementary,670,114038,108697.60,3555.10,1785.30,0.95,0.02
1,ADAMS,BRIGHTON 27J,40,5615,MARY E PENNOCK ELEMENTARY SCHOOL,BRIGHTON,Elementary,681,117890,113420.30,3259.90,1209.80,0.96,0.01
1,ADAMS,BRIGHTON 27J,40,6294,NORTH ELEMENTARY SCHOOL,BRIGHTON,Elementary,383,57198,54677.60,1603.00,917.40,0.96,0.02
1,ADAMS,BRIGHTON 27J,40,6395,NORTHEAST ELEMENTARY SCHOOL,BRIGHTON,Elementary,628,96596,92277.50,3095.80,1222.70,0.96,0.01
1,ADAMS,BRIGHTON 27J,40,6638,OVERLAND TRAIL MIDDLE SCHOOL,BRIGHTON,Middle/Jr. High,690,117287,111318.80,5035.20,933.00,0.95,0.01
1,ADAMS,BRIGHTON 27J,40,6702,OTHO E STUART MIDDLE SCHOOL,COMMERCE CITY,Middle/Jr. High,546,93646,88745.30,4238.90,661.80,0.95,0.01
1,ADAMS,BRIGHTON 27J,40,7129,PRAIRIE VIEW HIGH SCHOOL,HENDERSON,Senior,1541,259077,236564.80,10546.60,11965.60,0.91,0.05
1,ADAMS,BRIGHTON 27J,40,7131,PRAIRIE VIEW MIDDLE SCHOOL,HENDERSON,Middle/Jr. High,771,130485,122213.50,6186.20,2085.30,0.94,0.02
1,ADAMS,BRIGHTON 27J,40,7714,SECOND CREEK ELEMENTARY SCHOOL,COMMERCE CITY,Elementary,576,99369,94920.60,3325.20,1123.20,0.96,0.01
1,ADAMS,BRIGHTON 27J,40,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,BRIGHTON,Elementary,116,15011,13626.00,26.00,1359.00,0.91,0.09
1,ADAMS,BRIGHTON 27J,40,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,HENDERSON,Elementary,618,104914,100056.90,3747.10,1110.00,0.95,0.01
1,ADAMS,BRIGHTON 27J,40,8060,SOUTH ELEMENTARY SCHOOL,BRIGHTON,Elementary,572,98115,93545.00,3954.80,615.20,0.95,0.01
1,ADAMS,BRIGHTON 27J,40,8130,SOUTHEAST ELEMENTARY SCHOOL,BRIGHTON,Elementary,623,101394,96447.50,3415.20,1531.30,0.95,0.02
1,ADAMS,BRIGHTON 27J,40,8820,TURNBERRY ELEMENTARY,COMMERCE CITY,Elementary,696,110198,103921.60,5063.10,1213.30,0.94,0.01
1,ADAMS,BRIGHTON 27J,40,9230,VIKAN MIDDLE SCHOOL,BRIGHTON,Middle/Jr. High,603,102324,96663.00,4380.10,1280.90,0.94,0.01
1,ADAMS,BRIGHTON 27J,40,9426,WEST RIDGE ELEMENTARY,THORNTON,Elementary,824,131487,126045.70,4767.80,673.50,0.96,0.01
1,ADAMS,BENNETT 29J,50,763,BENNETT PRESCHOOL,BENNETT,Elementary,63,10398,10398.00,0.00,0.00,1.00,0.00
1,ADAMS,BENNETT 29J,50,770,BENNETT ELEMENTARY SCHOOL,BENNETT,Elementary,410,69933,66193.60,3713.90,25.50,0.95,0.00
1,ADAMS,BENNETT 29J,50,774,BENNETT MIDDLE SCHOOL,BENNETT,Middle/Jr. High,225,37890,36022.70,1786.10,81.20,0.95,0.00
1,ADAMS,BENNETT 29J,50,775,BENNETT HIGH SCHOOL,BENNETT,Senior,341,56987,53710.60,2885.80,390.60,0.94,0.01
1,ADAMS,BENNETT 29J,50,1889,CORRIDOR COMMUNITY ACADEMY,BENNETT,Elementary,111,18776,18002.70,764.10,9.20,0.96,0.00
1,ADAMS,STRASBURG 31J,60,7133,PRAIRIE CREEKS CHARTER SCHOOL,STRASBURG,Senior,2,1737,1515.00,222.00,0.00,0.87,0.00
1,ADAMS,STRASBURG 31J,60,8328,STRASBURG ELEMENTARY SCHOOL,STRASBURG,Elementary,454,69864,66418.00,3446.00,0.00,0.95,0.00
1,ADAMS,STRASBURG 31J,60,8332,HEMPHILL MIDDLE SCHOOL,STRASBURG,Middle/Jr. High,252,42655,40122.00,2533.00,0.00,0.94,0.00
1,ADAMS,STRASBURG 31J,60,8334,STRASBURG HIGH SCHOOL,STRASBURG,Senior,318,52687,49294.50,3392.50,0.00,0.94,0.00
1,ADAMS,WESTMINSTER 50,70,1622,CLARA E. METZ ELEMENTARY SCHOOL,DENVER,Elementary,410,72363,71260.10,761.40,341.50,0.98,0.00
1,ADAMS,WESTMINSTER 50,70,2035,CROWN POINTE CHARTER ACADEMY,WESTMINSTER,Elementary,371,61364,58551.10,2529.00,283.90,0.95,0.00
1,ADAMS,WESTMINSTER 50,70,2876,FAIRVIEW ELEMENTARY SCHOOL,DENVER,Elementary,362,59687,59254.90,311.20,120.90,0.99,0.00
1,ADAMS,WESTMINSTER 50,70,3144,FRANCIS M. DAY ELEMENTARY SCHOOL,DENVER,Elementary,363,59994,59316.90,337.80,339.30,0.99,0.01
1,ADAMS,WESTMINSTER 50,70,3649,GREGORY HILL PRESCHOOL,WESTMINSTER,Elementary,337,44871,39689.20,2040.80,3141.00,0.88,0.07
1,ADAMS,WESTMINSTER 50,70,3792,HARRIS PARK ELEMENTARY SCHOOL,WESTMINSTER,Elementary,396,66425,65019.80,1037.10,368.10,0.98,0.01
1,ADAMS,WESTMINSTER 50,70,3931,HIDDEN LAKE HIGH SCHOOL,WESTMINSTER,Senior,284,47440,42499.20,999.70,3941.10,0.90,0.08
1,ADAMS,WESTMINSTER 50,70,4465,JOSEPHINE HODGKINS ELEMENTARY SCHOOL,DENVER,Elementary,748,118100,115007.40,1925.90,1166.70,0.97,0.01
1,ADAMS,WESTMINSTER 50,70,5388,M. SCOTT CARPENTER MIDDLE SCHOOL,DENVER,Middle/Jr. High,551,91894,83620.90,4007.60,4265.50,0.91,0.05
1,ADAMS,WESTMINSTER 50,70,5834,MESA ELEMENTARY SCHOOL,WESTMINSTER,Elementary,432,68017,66782.60,777.40,457.00,0.98,0.01
1,ADAMS,WESTMINSTER 50,70,7305,IVER C. RANUM MIDDLE SCHOOL,DENVER,Middle/Jr. High,808,131965,119566.50,6777.40,5621.10,0.91,0.04
1,ADAMS,WESTMINSTER 50,70,7810,FLYNN ELEMENTARY SCHOOL,WESTMINSTER,Elementary,361,73838,70096.70,3052.30,689.00,0.95,0.01
1,ADAMS,WESTMINSTER 50,70,7812,SHAW HEIGHTS MIDDLE SCHOOL,WESTMINSTER,Middle/Jr. High,619,102378,92664.60,5516.30,4197.10,0.91,0.04
